year,age,school,group,topic,count
2018,010,1,2,135700,..C
2018,010,1,9,135700,..C
2018,010,2,1,135700,..C
2018,010,2,2,135700,..C
2018,010,2,9,135700,..C
2018,010,3,1,135700,..C
2018,010,3,2,135700,..C
2018,010,3,9,135700,..C
2018,010,4,1,135700,..C
2018,010,4,2,135700,..C
2018,010,4,9,135700,..C
2018,010,5,1,135700,..C
2018,010,5,2,135700,..C
2018,010,5,9,135700,..C
2018,010,6,1,135700,..C
2018,010,6,2,135700,..C
2018,010,6,9,135700,..C
2018,010,9,1,135700,..C
2018,010,9,2,135700,..C
2018,010,9,9,135700,..C
2018,010,77,1,135700,..C
2018,010,77,2,135700,..C
2018,010,77,9,135700,6
2018,010,9999,1,135700,6
2018,010,9999,2,135700,3
2018,010,9999,9,135700,6
2018,010,1,1,135800,..C
2018,010,1,2,135800,..C
2018,010,1,9,135800,9
2018,010,2,1,135800,..C
2018,010,2,2,135800,..C
2018,010,2,9,135800,3
2018,010,3,1,135800,..C
2018,010,3,2,135800,..C
2018,010,3,9,135800,3
2018,010,4,1,135800,6
2018,010,4,2,135800,6
2018,010,4,9,135800,15
2018,010,5,1,135800,..C
2018,010,5,2,135800,..C
2018,010,5,9,135800,0
2018,010,6,1,135800,..C
2018,010,6,2,135800,..C
2018,010,6,9,135800,0
2018,010,9,1,135800,..C
2018,010,9,2,135800,..C
2018,010,9,9,135800,0
2018,010,77,1,135800,12
2018,010,77,2,135800,15
2018,010,77,9,135800,27
2018,010,9999,1,135800,12
2018,010,9999,2,135800,15
2018,010,9999,9,135800,27
2018,010,1,1,135900,..C
2018,010,1,2,135900,..C
2018,010,1,9,135900,3
2018,010,2,1,135900,..C
2018,010,2,2,135900,..C
2018,010,2,9,135900,3
2018,010,3,1,135900,..C
2018,010,3,2,135900,..C
2018,010,3,9,135900,0
2018,010,4,1,135900,..C
2018,010,4,2,135900,..C
2018,010,4,9,135900,0
2018,010,5,1,135900,..C
2018,010,5,2,135900,..C
2018,010,5,9,135900,0
2018,010,6,1,135900,..C
2018,010,6,2,135900,..C
2018,010,6,9,135900,0
2018,010,9,1,135900,..C
2018,010,9,2,135900,..C
2018,010,9,9,135900,0
2018,010,77,1,135900,..C
2018,010,77,2,135900,..C
2018,010,77,9,135900,3
2018,010,9999,1,135900,3
2018,010,9999,2,135900,0
2018,010,9999,9,135900,3
2018,010,1,1,136000,3
2018,010,1,2,136000,0
2018,010,1,9,136000,3
2018,010,2,1,136000,0
2018,010,2,2,136000,0
2018,010,2,9,136000,0
2018,010,3,1,136000,0
2018,010,3,2,136000,0
2018,010,3,9,136000,0
2018,010,4,1,136000,0
2018,010,4,2,136000,3
2018,010,4,9,136000,3
2018,010,5,1,136000,3
2018,010,5,2,136000,0
2018,010,5,9,136000,3
2018,010,6,1,136000,0
2018,010,6,2,136000,0
2018,010,6,9,136000,0
2018,010,9,1,136000,0
2018,010,9,2,136000,0
2018,010,9,9,136000,0
2018,010,77,1,136000,3
2018,010,77,2,136000,3
2018,010,77,9,136000,6
2018,010,9999,1,136000,3
2018,010,9999,2,136000,3
2018,010,9999,9,136000,6
2018,010,1,1,136100,9
2018,010,1,2,136100,12
2018,010,1,9,136100,15
2018,010,2,1,136100,..C
2018,010,2,2,136100,..C
2018,010,2,9,136100,6
2018,010,3,1,136100,..C
2018,010,3,2,136100,..C
2018,010,3,9,136100,6
2018,010,4,1,136100,..C
